Feasible.Guesses	Frequency	Probability	Plural	Feasible.Secrets
aahed	0	0	0	FALSE
aalii	0	0	0	FALSE
aargh	71592	0	0	FALSE
aarti	63273	0	0	FALSE
abaca	79841	0	0	FALSE
abaci	0	0	0	FALSE
aback	272920	0.58	0	TRUE
abacs	0	0	0	FALSE
abaft	19188	0	0	FALSE
abaka	0	0	0	FALSE
abamp	0	0	0	FALSE
aband	0	0	0	FALSE
abase	29383	0.507534	0	TRUE
abash	0	0.0117792	0	TRUE
abask	0	0	0	FALSE
abate	470646	0.58	0	TRUE
abaya	84401	0	0	FALSE
puffs	502996	0	1	TRUE
abbed	0	0	0	FALSE
abbes	25330	0	0	FALSE
abbey	4224864	0.572354	0	TRUE
abbot	992552	0.567241	0	TRUE
abcee	0	0	0	FALSE
abeam	17316	0	0	FALSE
abear	0	0	0	FALSE
abele	62988	0	0	FALSE
abers	0	0	0	FALSE
abets	33014	0	0	FALSE
abhor	169167	0.578952	0	TRUE
abide	3722809	0.58	0	TRUE
abies	185002	0	0	FALSE
abled	122479	0.00187746	0	TRUE
abler	29740	0	0	FALSE
ables	252284	0	0	FALSE
ablet	0	0	0	FALSE
ablow	15776	0	0	FALSE
abmho	0	0	0	FALSE
abode	1246541	0.58	0	TRUE
abohm	0	0	0	FALSE
aboil	0	0.0324313	0	TRUE
aboma	0	0	0	FALSE
aboon	0	0	0	FALSE
abord	82154	0	0	FALSE
abore	0	0	0	FALSE
abort	1569892	0.58	0	TRUE
about	1226734006	0.58	0	TRUE
above	141894620	0.58	0	TRUE
abram	610831	0	0	FALSE
abray	13971	0	0	FALSE
abrim	0	0	0	FALSE
abrin	0	0	0	FALSE
abris	21355	0	0	FALSE
absey	0	0	0	FALSE
absit	0	0	0	FALSE
abuna	0	0	0	FALSE
abune	0	0	0	FALSE
abuse	36269685	0.58	0	TRUE
abuts	106431	0	0	FALSE
abuzz	101924	0.58	0	TRUE
abyes	0	0	0	FALSE
abysm	0	0	0	FALSE
abyss	1152408	0.58	0	TRUE
acais	0	0	0	FALSE
acari	80144	0	0	FALSE
accas	0	0	0	FALSE
accoy	0	0	0	FALSE
acerb	0	0	0	FALSE
acers	31994	0	0	FALSE
aceta	0	0	0	FALSE
achar	32197	0	0	FALSE
ached	153141	0.00187746	0	TRUE
emits	508331	0	1	TRUE
achoo	33177	0.023537	0	TRUE
popes	510461	0	1	TRUE
acidy	0	0	0	FALSE
acing	35956	0.546547	0	TRUE
acini	24397	0	0	FALSE
ackee	0	0	0	FALSE
acker	317695	0	0	FALSE
acmes	0	0	0	FALSE
acmic	0	0	0	FALSE
acned	0	0	0	FALSE
acnes	44507	0	0	FALSE
acock	0	0	0	FALSE
acold	0	0	0	FALSE
acorn	1825652	0.58	0	TRUE
acred	0	0	0	FALSE
tacos	512088	0	1	TRUE
acrid	104638	0.58	0	TRUE
acros	67908	0	0	FALSE
acted	4468180	0.00187746	0	TRUE
actin	1356491	0	0	TRUE
acton	1309016	0	0	TRUE
actor	16282891	0.58	0	TRUE
acute	11128841	0.58	0	TRUE
acyls	0	0	0	FALSE
adage	419158	0.58	0	TRUE
adapt	4675567	0.58	0	TRUE
adaws	0	0	0	FALSE
adays	13959	0	0	FALSE
adbot	19586	0	0	FALSE
addax	16108	0	0	FALSE
added	118410414	0.00187746	0	TRUE
adder	888956	0.479054	0	TRUE
addio	54645	0	0	FALSE
addle	15267	0.476487	0	TRUE
adeem	0	0	0	FALSE
adept	1595303	0.58	0	TRUE
adhan	37011	0	0	FALSE
adieu	274747	0.573183	0	TRUE
adios	348221	0.524852	0	TRUE
adits	12932	0	0	FALSE
adman	30780	0	0	FALSE
admen	0	0	0	FALSE
admin	37835381	0.547905	0	TRUE
admit	8780656	0.58	0	TRUE
admix	17678	0	0	FALSE
adobe	27538755	0.579979	0	TRUE
adobo	73556	0.569501	0	TRUE
adopt	11272339	0.58	0	TRUE
adore	1176240	0.58	0	TRUE
adorn	464591	0.58	0	TRUE
adown	15167	0	0	FALSE
adoze	0	0	0	FALSE
adrad	0	0	0	FALSE
adred	0	0	0	FALSE
adsum	0	0	0	FALSE
aduki	0	0	0	FALSE
adult	97583096	0.58	0	TRUE
adunc	0	0	0	FALSE
adust	0	0	0	FALSE
advew	0	0	0	FALSE
adyta	0	0	0	FALSE
adzed	0	0	0	FALSE
