Feasible.Guesses	Frequency	Probability	Plural	Feasible.Secrets
aargh	71592	0	0	FALSE
aarti	63273	0	0	FALSE
abaca	79841	0	0	FALSE
aback	272920	0.58	0	TRUE
abaft	19188	0	0	FALSE
abase	29383	0.507534	0	TRUE
abash	0	0.0117792	0	TRUE
abate	470646	0.58	0	TRUE
abaya	84401	0	0	FALSE
puffs	502996	0	1	TRUE
abbes	25330	0	0	FALSE
abbey	4224864	0.572354	0	TRUE
abbot	992552	0.567241	0	TRUE
abeam	17316	0	0	FALSE
abele	62988	0	0	FALSE
abets	33014	0	0	FALSE
abhor	169167	0.578952	0	TRUE
abide	3722809	0.58	0	TRUE
abies	185002	0	0	FALSE
abled	122479	0.00187746	0	TRUE
abler	29740	0	0	FALSE
ables	252284	0	0	FALSE
ablow	15776	0	0	FALSE
abode	1246541	0.58	0	TRUE
aboil	0	0.0324313	0	TRUE
abord	82154	0	0	FALSE
abort	1569892	0.58	0	TRUE
about	1226734006	0.58	0	TRUE
above	141894620	0.58	0	TRUE
abram	610831	0	0	FALSE
abray	13971	0	0	FALSE
abris	21355	0	0	FALSE
abuse	36269685	0.58	0	TRUE
abuts	106431	0	0	FALSE
abuzz	101924	0.58	0	TRUE
abyss	1152408	0.58	0	TRUE
acari	80144	0	0	FALSE
acers	31994	0	0	FALSE
achar	32197	0	0	FALSE
ached	153141	0.00187746	0	TRUE
emits	508331	0	1	TRUE
achoo	33177	0.023537	0	TRUE
popes	510461	0	1	TRUE
acing	35956	0.546547	0	TRUE
acini	24397	0	0	FALSE
ackee	0	0	0	FALSE
acker	317695	0	0	FALSE
acnes	44507	0	0	FALSE
acorn	1825652	0.58	0	TRUE
tacos	512088	0	1	TRUE
acrid	104638	0.58	0	TRUE
acros	67908	0	0	FALSE
acted	4468180	0.00187746	0	TRUE
actin	1356491	0	0	TRUE
acton	1309016	0	0	TRUE
actor	16282891	0.58	0	TRUE
acute	11128841	0.58	0	TRUE
adage	419158	0.58	0	TRUE
adapt	4675567	0.58	0	TRUE
adays	13959	0	0	FALSE
adbot	19586	0	0	FALSE
addax	16108	0	0	FALSE
added	118410414	0.00187746	0	TRUE
adder	888956	0.479054	0	TRUE
addio	54645	0	0	FALSE
addle	15267	0.476487	0	TRUE
adept	1595303	0.58	0	TRUE
adhan	37011	0	0	FALSE
adieu	274747	0.573183	0	TRUE
adios	348221	0.524852	0	TRUE
adits	12932	0	0	FALSE
adman	30780	0	0	FALSE
admin	37835381	0.547905	0	TRUE
admit	8780656	0.58	0	TRUE
admix	17678	0	0	FALSE
adobe	27538755	0.579979	0	TRUE
adobo	73556	0.569501	0	TRUE
adopt	11272339	0.58	0	TRUE
adore	1176240	0.58	0	TRUE
adorn	464591	0.58	0	TRUE
adown	15167	0	0	FALSE
aduki	0	0	0	FALSE
adult	97583096	0.58	0	TRUE
aedes	173718	0	0	FALSE
aegis	1349788	0.58	0	TRUE
aeons	92070	0	0	FALSE
aerie	107043	0.57511	0	TRUE
aeros	137375	0	0	FALSE
aesir	33093	0	0	FALSE
afars	16470	0	0	FALSE
affix	444121	0.576954	0	TRUE
afire	113772	0.576559	0	TRUE
afoot	364417	0.58	0	TRUE
afore	191691	0.0306611	0	TRUE
afoul	159727	0.58	0	TRUE
afrit	0	0	0	FALSE
afros	24950	0	0	FALSE
after	372948094	0.58	0	TRUE
again	150781416	0.58	0	TRUE
agama	68959	0	0	FALSE
agami	18814	0	0	FALSE
agape	414471	0.576033	0	TRUE
agate	900451	0.558743	0	TRUE
agave	312239	0.575508	0	TRUE
agent	57103658	0.58	0	TRUE
agers	180316	0	0	FALSE
agger	27373	0	0	FALSE
aggie	616732	0	0	FALSE
aggro	171343	0	0	FALSE
agila	64661	0	0	FALSE
agile	1808955	0.58	0	TRUE
aging	12014007	0.58	0	TRUE
agios	230082	0	0	FALSE
agita	0	0.568466	0	TRUE
aglet	21535	0	0	FALSE
aglow	110328	0.57652	0	TRUE
agony	1543205	0.58	0	TRUE
agood	24742	0	0	FALSE
agora	797585	0.540652	0	TRUE
agree	47500911	0.58	0	TRUE
agrin	23924	0	0	FALSE
ahead	28375319	0.58	0	TRUE
ahigh	12899	0	0	FALSE
ahold	295977	0.568244	0	TRUE
aided	3314916	0.00187746	0	TRUE
aider	140957	0.467914	0	TRUE
drags	518855	0	1	TRUE
aight	127253	0	0	FALSE
ailed	20703	0.00187746	0	TRUE
aimed	10030370	0.00187746	0	TRUE
aimer	96862	0	0	FALSE
aioli	84769	0.58	0	TRUE
aired	2159611	0.00187746	0	TRUE
airer	36215	0	0	FALSE
airth	28113	0	0	FALSE
aisle	1917319	0.58	0	TRUE
aitch	28626	0	0	FALSE
ajuga	31146	0	0	FALSE
ajwan	0	0	0	FALSE
akela	28395	0	0	FALSE
aking	105864	0	0	FALSE
akita	440387	0	0	FALSE
alack	38913	0	0	FALSE
alamo	2162395	0	0	TRUE
aland	874439	0	0	FALSE
alane	34667	0	0	FALSE
alang	48219	0	0	FALSE
alans	34103	0	0	FALSE
alarm	17059844	0.58	0	TRUE
alary	13261	0	0	FALSE
albee	239116	0	0	FALSE
album	77914316	0.58	0	TRUE
aldea	47423	0	0	FALSE
alder	972850	0.553994	0	TRUE
aldol	32614	0	0	FALSE
aleck	69914	0	0	FALSE
aleph	692035	0	0	FALSE
alert	32472727	0.58	0	TRUE
alfas	23952	0	0	FALSE
algae	2068644	0.58	0	TRUE
algal	510781	0	0	FALSE
algas	36273	0	0	FALSE
algor	79868	0	0	FALSE
algum	21242	0	0	FALSE
stews	519188	0	1	TRUE
alibi	448710	0.58	0	TRUE
alien	10490554	0.58	0	TRUE
align	5478643	0.58	0	TRUE
alike	6220739	0.58	0	TRUE
aline	267309	0	0	FALSE
alist	270374	0	0	FALSE
alive	16064787	0.58	0	TRUE
aliya	86771	0	0	FALSE
alkyd	101898	0	0	FALSE
alkyl	637228	0	0	FALSE
allay	203474	0.58	0	TRUE
allee	204946	0	0	FALSE
allel	39827	0	0	FALSE
alley	4541475	0.58	0	TRUE
allis	603850	0	0	FALSE
allot	396325	0.568466	0	TRUE
allow	67052567	0.58	0	TRUE
alloy	5468839	0.579472	0	TRUE
allyl	130966	0	0	FALSE
almas	48769	0	0	FALSE
almes	44838	0	0	FALSE
aloes	66464	0	0	FALSE
aloft	497342	0.58	0	TRUE
aloha	2099181	0.549883	0	TRUE
alone	39326417	0.58	0	TRUE
along	83444756	0.58	0	TRUE
aloof	294291	0.58	0	TRUE
