# Excluded rare, archaic, obsolete, historical, or legacy guesses
# Source: C:\Users\T-Dawg\vswordle\UnknownMediocreTutorial\server\wordlists\allowed_words.txt
# All words marked as feasible secrets, or listed in allowed_secrets.txt, were protected.
# Reviewed terms were removed by explicit category.
# Other non-secret terms were removed when their source Frequency was below 1.
# Protected secret rows kept: 4164
# Modern zero-frequency exceptions kept: 23
# Total excluded rows: 4811
#
word	frequency	probability	plural	reason
aahed	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aalii	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abaci	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abacs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abaka	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abamp	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aband	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abask	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abbed	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abcee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abear	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abers	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ablet	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abmho	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abohm	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aboma	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aboon	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abore	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abrim	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abrin	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
absey	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
absit	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abuna	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abune	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abyes	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
abysm	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acais	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
accas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
accoy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acerb	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aceta	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acidy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acmes	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acmic	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acned	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acock	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acold	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acred	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
acyls	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adaws	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adeem	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
admen	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adoze	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adrad	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adred	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adsum	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adunc	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adust	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
advew	0	0	0	reviewed: obsolete or superseded spelling/form
adyta	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adzed	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
adzes	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aecia	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
afald	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
afara	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
afear	0	0	0	reviewed: obsolete or superseded spelling/form
aflaj	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agars	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agast	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agaze	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agene	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aggri	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aggry	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aghas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agism	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agist	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aglee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agley	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agloo	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aglus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agmas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agoge	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agone	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agons	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agria	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agros	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agued	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
agues	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aguna	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aguti	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aheap	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ahent	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ahind	0	0	0	reviewed: obsolete or superseded spelling/form
ahing	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ahint	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ahull	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ahuru	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aidas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aidoi	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aidos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aiery	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aigas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ainee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ainga	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
airns	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
airts	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aitus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aiver	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aiyee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aizle	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ajies	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ajiva	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
akees	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
akene	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
akkas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alaap	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alant	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alapa	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alaps	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alate	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alays	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
albas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alcid	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alcos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alecs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alefs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aleft	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alews	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aleye	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
algid	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
algin	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alifs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alkie	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alkos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
allod	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
almah	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
almeh	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
almud	0	0	0	reviewed: historical measure, coin, title, object, or specialized legacy term
almug	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alods	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aloed	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aloin	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aloos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alowe	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
alure	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amahs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amaut	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amban	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ameba	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amene	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amens	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amias	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amice	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amids	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amins	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amirs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
amlas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ammos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
